"","X.1","X","year","gdp.growth","net.approval","two.terms","incumbent.vote","new_col","new_col_2"
"1",1,1,2017,1.2,6,1,NA,21.2,2038.2
"2",2,2,2013,1.3,-0.8,0,52,21.3,2034.3
"3",3,3,2009,1.3,-37,1,46.3,21.3,2030.3
"4",4,4,2005,2.6,-0.5,0,51.2,22.6,2027.6
"5",5,5,2001,8,19.5,1,50.3,28,2029
"6",6,6,1997,7.1,15.5,0,54.7,27.1,2024.1
"7",7,7,1993,4.3,-18,1,46.5,24.3,2017.3
"8",8,8,1989,5.2,10,1,53.9,25.2,2014.2
"9",9,9,1985,7.1,20,0,59.2,27.1,2012.1
"10",10,10,1981,-7.9,-21.7,0,44.7,12.1,1993.1
"11",11,11,1977,3,5,1,48.9,23,2000
"12",12,12,1973,9.8,26,0,61.8,29.8,2002.8
"13",13,13,1969,7,-5,1,49.6,27,1996
"14",14,14,1965,4.7,60.3,0,61.3,24.7,1989.7
"15",15,15,1961,-1.9,37,1,49.9,18.1,1979.1
"16",16,16,1957,3.2,53.5,0,57.8,23.2,1980.2
"17",17,17,1953,0.4,-27,1,44.5,20.4,1973.4
"18",18,18,1949,7.5,-6,1,52.4,27.5,1976.5
